127.0.0.1 - - [03/Oct/2022:21:40:40 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Oct/2022:21:40:41 -0300] "GET /HelloJSP/ HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [03/Oct/2022:21:40:41 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Oct/2022:21:41:17 -0300] "GET /HelloJSP/ HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [03/Oct/2022:21:41:17 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Oct/2022:23:18:57 -0300] "GET /HelloJSP/ HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [03/Oct/2022:23:19:29 -0300] "GET /HelloJSP/ HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [03/Oct/2022:23:20:06 -0300] "GET /HelloJSP/ HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [03/Oct/2022:23:20:09 -0300] "GET /HelloJSP/ HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [03/Oct/2022:23:20:14 -0300] "GET /HelloJSP/ HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [03/Oct/2022:23:20:25 -0300] "GET /HelloJSP/ HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [03/Oct/2022:23:21:00 -0300] "GET /HelloJSP/ HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [03/Oct/2022:23:21:16 -0300] "GET /HelloJSP/ HTTP/1.1" 200 1416
