127.0.0.1 - - [04/Oct/2022:22:06:33 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:06:33 -0300] "GET /HelloJSP/index.html HTTP/1.1" 200 5265
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:06:33 -0300] "GET /HelloJSP/css/global.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:06:33 -0300] "GET /HelloJSP/images/local.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:06:33 -0300] "GET /HelloJSP/images/hotel.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:06:33 -0300] "GET /HelloJSP/images/Global.svg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:06:33 -0300] "GET /HelloJSP/images/idea.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:06:33 -0300] "GET /HelloJSP/images/sp.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:06:33 -0300] "GET /HelloJSP/images/bh.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:06:33 -0300] "GET /HelloJSP/images/alagoas.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:06:35 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:08:51 -0300] "GET /HelloJSP/index.html HTTP/1.1" 200 5299
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:08:51 -0300] "GET /HelloJSP/GulliverTraveller/HelloJSP/webapp/css/global.css HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:08:51 -0300] "GET /HelloJSP/images/local.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:08:51 -0300] "GET /HelloJSP/images/hotel.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:08:51 -0300] "GET /HelloJSP/images/Global.svg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:08:51 -0300] "GET /HelloJSP/images/sp.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [04/Oct/2022:22:08:51 -0300] "GET /HelloJSP/images/idea.png HTTP/1.1" 404 783
